Country_Code,Total
AFG,3.575000048
ALB,4.959000111
ARE,6.901000023
ARG,6.573999882
ARM,4.349999905
AUS,7.28399992
AUT,7.199999809
AZE,5.211999893
BDI,2.904999971
BEL,6.936999798
BEN,3.339999914
BFA,3.586999893
BGD,4.693999767
BGR,4.217999935
BHR,5.960000038
BIH,4.948999882
BLR,5.813000202
BOL,5.889999866
BRA,6.982999802
BTN,5.252999783
BWA,4.331999779
CAN,7.427000046
CHE,7.586999893
CHL,6.670000076
CHN,5.139999866
CMR,4.251999855
COD,4.5
COL,6.477000237
COM,3.95600009
CRI,7.225999832
CYP,5.695000172
CZE,6.505000114
DEU,6.75
DNK,7.52699995
DOM,4.885000229
DZA,5.605000019
ECU,5.974999905
EGY,4.193999767
ESP,6.328999996
EST,5.428999901
ETH,4.512000084
FIN,7.406000137
FRA,6.574999809
GAB,3.895999908
GBR,6.867000103
GEO,4.296999931
GHA,4.632999897
GIN,3.655999899
GRC,4.856999874
GTM,6.123000145
HKG,5.473999977
HND,4.788000107
HRV,5.758999825
HTI,4.518000126
HUN,4.800000191
IDN,5.399000168
IND,4.565000057
IRL,6.940000057
IRN,4.68599987
IRQ,4.677000046
ISL,7.56099987
ISR,7.277999878
ITA,5.947999954
JAM,5.709000111
JOR,5.191999912
JPN,5.986999989
KAZ,5.855000019
KEN,4.419000149
KGZ,5.285999775
KHM,3.819000006
KWT,6.295000076
LAO,4.875999928
LBN,4.839000225
LBR,4.571000099
LBY,5.754000187
LKA,4.270999908
LTU,5.833000183
LUX,6.946000099
LVA,5.09800005
MAC,5.139999866
MAR,5.013000011
MDA,5.888999939
MDG,3.680999994
MEX,7.186999798
MLI,3.994999886
MLT,6.302000046
MMR,4.30700016
MNE,5.191999912
MNG,4.874000072
MRT,4.43599987
MUS,5.477000237
MWI,4.291999817
MYS,5.769999981
NAM,4.574
NER,5.268000126
NGA,5.268000126
NIC,5.828000069
NLD,7.377999783
NOR,7.521999836
NPL,4.513999939
NZL,7.285999775
PAK,5.193999767
PAN,6.785999775
PER,5.823999882
PHL,5.072999954
PLW,4.715000153
POL,5.790999889
PRT,5.102000237
PRY,5.877999783
QAT,6.611000061
ROU,5.124000072
RUS,5.71600008
RWA,3.464999914
SAU,6.410999775
SEN,3.904000044
SGP,6.797999859
SLE,4.506999969
SLV,6.130000114
SOM,5.05700016
SRB,5.123000145
SSD,4.550000191
SVK,5.994999886
SVN,5.84800005
SWE,7.363999844
SYR,3.006000042
TCD,3.667000055
TGO,2.838999987
THA,6.454999924
TJK,4.785999775
TKM,5.547999859
TTO,6.168000221
TUN,4.738999844
TUR,5.331999779
TZA,3.780999899
UGA,3.930999994
UKR,4.681000233
URY,6.485000134
USA,7.118999958
UZB,6.002999783
VEN,6.809999943
VNM,5.360000134
YEM,4.077000141
ZAF,4.642000198
ZMB,5.129000187
ZWE,4.610000134
