Country_Code,EG.ELC.ACCS.ZS,EG.ELC.ACCS.UR.ZS,NY.ADJ.DMIN.CD,SP.DYN.CBRT.IN,ER.FSH.CAPT.MT,SP.DYN.CDRT.IN,SP.DYN.TFRT.IN,SM.POP.TOTL,SM.POP.TOTL.ZS,SH.H2O.BASW.ZS,SP.POP.GROW,SP.POP.TOTL,EG.ELC.RNEW.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,ER.FSH.PROD.MT,SP.URB.TOTL.IN.ZS,SP.URB.GROW,NY.GDP.PCAP.CD,SH.XPD.CHEX.GD.ZS,SP.DYN.LE00.IN,SH.TBS.INCD,SH.TBS.DTEC.ZS,SH.TBS.MORT,SP.ADO.TFRT,SH.XPD.CHEX.PC.CD,NY.GNP.PCAP.CD,SH.IMM.IDPT,SH.DTH.IMRT,SH.STA.OWAD.ZS,SP.POP.BRTH.MF,SL.UEM.TOTL.ZS,AG.LND.ARBL.HA.PC,IT.MLT.MAIN.P2,AG.PRD.FOOD.XD,NY.GDP.PETR.RT.ZS,EN.ATM.PM25.MC.ZS,SH.ALC.PCAP.LI
AFG,69,95,895889,36,1000,7,5,382365,1,55,3,30696958,85,23280573,75,2050,24,4,648,7,62,189,49,44,86,52,640,67,68570,20,1,1,0,0,122,0,100,4
ALB,100,100,23511408,11,8615,6,1,57616,1,88,0,2900401,100,1324613,45,10649,54,1,4247,5,77,16,87,0,20,246,4360,99,331,54,1,13,0,10,133,3,100,6
ARE,100,100,0,10,72728,1,1,8095126,88,99,2,8900453,0,1357408,15,73148,84,2,42086,3,76,1,87,0,27,1441,40290,96,649,65,1,2,0,22,64,28,100,8
ARG,99,99,2284549946,17,738060,7,2,2086302,4,99,1,42096739,29,3737769,8,741018,91,1,12969,8,75,24,87,1,63,1161,11780,91,8928,60,1,7,0,22,108,2,99,8
ARM,99,99,230406240,14,861,9,1,191199,6,97,0,2881922,28,1059395,36,9711,63,0,3684,6,73,53,80,4,27,247,3880,95,623,52,1,17,0,20,135,0,100,4
AUS,100,100,30474652758,13,166828,6,1,6763663,28,99,1,22733465,10,3318631,14,248311,85,1,67891,8,82,6,87,0,14,6047,60090,92,1106,62,1,5,2,45,108,0,30,9
AUT,100,100,30543251,9,300,9,1,1492374,17,100,0,8429991,74,3612504,42,3425,57,0,48567,10,80,8,87,0,8,4966,50060,92,266,52,1,4,0,39,99,0,97,9
AZE,99,99,54563419,18,911,5,2,264241,2,82,1,9295784,7,4286937,46,1277,53,1,7496,4,71,86,80,4,48,374,6480,89,4917,50,1,5,0,18,138,27,100,5
BDI,6,58,15415034,43,12309,11,6,286810,2,55,3,9319710,97,8276462,88,12469,11,5,250,8,55,133,56,22,29,21,250,96,21071,20,1,1,0,0,98,0,100,4
BEL,100,100,0,11,24659,9,1,1387940,12,100,0,11106932,12,250572,2,24936,97,0,44826,10,80,9,87,0,6,4543,47280,99,442,58,1,7,0,41,100,0,98,8
BEN,38,68,635309,38,40364,9,5,245399,2,65,2,9729160,5,5436168,55,40864,44,3,837,4,59,66,62,10,96,39,820,80,25948,27,1,2,0,1,145,0,100,3
BFA,16,55,919495852,41,20300,9,5,704676,3,52,2,16571216,15,12301311,74,20602,25,5,673,4,58,55,57,9,115,32,650,90,40640,20,1,5,0,0,132,0,100,4
BGD,60,89,0,20,1535715,5,2,1422805,0,96,1,155727053,1,105905297,68,3261781,31,3,856,2,71,221,49,52,88,22,940,94,111001,17,1,4,0,0,132,0,100,5
BGR,100,100,505522376,9,9581,15,1,102113,1,99,0,7305888,11,1974416,27,15556,72,0,7378,7,74,36,80,2,43,558,7420,95,578,59,1,12,0,29,104,0,99,4
BHR,100,100,0,16,27091,2,2,704137,51,100,1,1300217,0,146118,11,27092,88,1,23649,4,76,20,87,0,13,971,19910,99,139,63,1,1,0,23,165,4,100,6
BIH,99,99,36961215,9,305,10,1,34803,0,97,-1,3648200,29,1962768,53,3943,46,0,4722,9,76,48,80,4,12,447,4930,92,191,51,1,28,0,24,100,0,100,7
BLR,100,100,0,12,965,13,1,1082905,11,97,0,9464495,0,2300156,24,16464,75,0,6940,5,71,63,80,8,21,363,6670,98,406,57,1,6,0,46,138,1,100,6
BOL,90,99,738157763,24,6820,7,3,142989,1,90,1,10239004,32,3346618,32,7880,67,2,2645,5,67,127,64,13,72,135,2280,93,8370,53,1,2,0,8,135,4,100,7
BRA,99,99,18398412011,15,820112,5,1,713568,0,96,0,200560983,82,30238579,15,1300992,84,1,12291,10,74,44,87,2,66,1234,12280,95,46642,54,1,7,0,22,127,2,86,8
BTN,91,99,79837,19,2,6,2,51106,6,95,1,752967,99,479105,63,80,36,3,2422,3,68,188,80,21,29,80,2290,97,457,24,1,2,0,3,100,0,100,7
BWA,52,67,237217121,25,378,8,2,160644,7,78,1,2089315,0,736107,35,378,64,3,6901,6,62,445,74,24,38,498,7340,95,1907,41,1,17,0,7,127,0,100,4
CAN,100,100,9497322998,11,832653,7,1,7835502,21,99,1,34750545,63,6554995,18,1017563,81,1,52496,10,81,5,87,0,11,5352,50900,95,1834,62,1,7,1,50,108,1,8,9
CHE,100,100,259249,10,2003,8,1,2438702,29,100,1,7996861,59,2106933,26,3474,73,1,83538,11,82,6,87,0,3,9286,84880,96,317,52,1,4,0,58,105,0,91,9
CHL,99,99,22026393224,14,3008915,5,1,469436,2,99,0,17309746,36,2217552,12,4084462,87,0,15431,7,78,16,87,2,50,1083,14420,90,1739,61,1,6,0,19,111,0,99,8
CHN,99,100,50103709725,12,16400000,7,1,978046,0,93,0,1350695000,19,651507733,48,70400000,51,2,6337,4,75,74,87,3,6,283,5940,99,201276,29,1,4,0,20,127,1,99,7
CMR,55,87,46236780,38,199000,11,4,381984,1,63,2,21082383,75,9957420,47,199840,52,3,1380,4,56,242,49,36,120,62,1390,85,51303,31,1,3,0,3,155,5,100,5
COD,15,40,3056849808,44,218000,10,6,545694,0,40,3,68978682,99,40640860,58,220869,41,4,424,3,57,327,48,69,129,14,380,75,239359,23,1,4,0,0,109,2,100,5
COL,97,99,2761185801,16,71975,5,1,133134,0,95,1,46881475,79,9985285,21,161629,78,1,7904,5,73,32,80,2,57,448,7150,91,11486,56,1,9,0,15,111,6,99,7
COM,69,85,0,34,36296,7,4,12555,1,84,2,723868,0,520295,71,36296,28,2,1403,7,62,34,48,7,74,65,1420,86,1466,25,1,4,0,3,101,0,100,4
CRI,99,99,11637377,15,15045,4,1,421697,8,99,1,4654122,91,1212585,26,42332,73,2,9985,7,79,13,80,1,59,773,9210,91,606,58,1,9,0,21,122,0,100,9
CYP,100,100,12796317,11,1323,6,1,196167,16,100,0,1135062,5,371608,32,5656,67,0,28984,6,79,6,87,0,5,1942,28940,99,34,57,1,11,0,43,81,0,100,6
CZE,100,100,0,10,4033,10,1,405093,3,99,0,10510785,9,2817206,26,24796,73,0,19729,7,78,6,87,0,11,1387,19350,99,283,60,1,6,0,20,92,0,99,6
DEU,100,100,6416649,8,214408,10,1,12005690,14,100,0,80425823,23,18361215,22,240768,77,0,44065,10,80,5,87,0,8,4750,46710,95,2284,55,1,5,0,61,106,0,98,8
DNK,100,100,9751993,10,502790,9,1,572520,10,100,0,5591572,48,718964,12,537375,87,0,58507,10,80,7,87,0,4,6003,61650,94,207,54,1,7,0,40,105,1,85,9
DOM,97,99,322004547,21,13663,6,2,415564,3,93,1,10154950,14,2457295,24,14694,75,2,5973,5,73,52,80,5,100,351,5660,85,6028,57,1,6,0,11,127,0,100,5
DZA,98,99,44061988,25,105621,4,2,242391,0,92,2,37565847,1,11677344,31,108265,68,2,5565,6,75,73,80,8,11,333,5140,95,20950,59,1,10,0,8,149,26,100,6
ECU,97,99,159051929,21,512308,5,2,387513,2,90,1,15419666,54,5707127,37,834763,62,1,5702,8,75,44,80,3,77,483,5410,87,4721,53,1,3,0,14,117,13,99,7
EGY,99,99,906941971,27,354238,6,3,491643,0,98,2,87813257,8,50100976,57,1371976,42,2,3181,4,70,17,57,0,54,143,2790,93,54229,60,1,12,0,9,118,8,100,4
ESP,100,100,323441693,9,928174,8,1,5852953,12,100,0,46773055,29,9868179,21,1192338,78,0,28563,9,82,14,87,0,8,2589,29760,97,1345,60,1,24,0,41,93,0,68,7
EST,100,100,0,10,66754,11,1,202348,15,99,0,1322696,12,423607,32,67335,67,0,17421,5,76,22,87,2,16,1013,16900,94,46,54,1,10,0,33,128,1,1,6
ETH,28,86,379954616,33,28952,7,4,1072949,1,34,2,92444183,99,75656319,81,28990,18,4,468,4,63,239,66,35,74,20,410,62,155642,18,1,2,0,0,147,0,100,5
FIN,100,100,536191365,11,162310,9,1,315881,5,100,0,5413971,40,820704,15,174969,84,1,47415,9,80,5,87,0,7,4406,48670,99,133,56,1,7,0,16,93,0,0,9
FRA,100,100,1631331,12,473260,8,2,7784418,12,100,0,65659789,14,13868661,21,678808,78,0,40874,11,81,8,83,0,9,4650,43380,99,2669,57,1,9,0,62,100,0,98,8
GAB,89,98,20529130,31,36500,8,4,268384,15,86,3,1756817,42,234816,13,36548,86,4,9774,2,64,550,51,105,111,236,9040,82,2192,37,1,20,0,1,114,35,100,4
GBR,100,100,3240076,12,631490,8,1,8543120,13,100,0,63700300,11,11569885,18,837084,81,1,42018,8,80,14,89,0,17,3496,41310,95,3265,61,1,7,0,51,99,0,84,8
GEO,100,100,146465303,14,12070,12,1,168802,4,92,0,3728874,74,1629406,43,12720,56,0,4249,8,72,119,81,5,51,323,3970,92,767,51,1,17,0,31,73,0,100,4
GHA,69,86,2348200537,32,366044,8,4,399471,1,75,2,25733049,67,12333078,47,393494,52,3,1629,5,61,173,33,39,71,89,1560,92,37260,29,1,6,0,1,139,4,100,5
GIN,26,74,479457385,37,132233,10,5,228413,1,64,2,11281469,67,7417002,65,132483,34,3,677,3,57,180,56,28,145,22,630,53,27417,24,1,4,0,0,128,0,100,4
GRC,100,100,156544766,9,61044,10,1,1242514,11,100,0,11045011,16,2539911,22,172017,77,0,22242,8,80,5,87,0,8,1968,23500,99,353,60,1,24,0,47,99,0,100,6
GTM,86,95,254075007,26,19991,5,3,76352,0,92,2,15271056,66,7788239,51,37734,49,2,3299,5,72,28,80,1,78,194,3100,96,11069,53,1,2,0,11,132,0,100,7
HKG,100,100,0,12,155230,6,1,2838665,38,99,1,7150100,0,0,0,159323,100,1,36730,0,83,78,87,2,3,1211,36340,89,0,46,1,3,0,61,58,0,95,5
HND,83,98,112706184,23,12198,4,2,28070,0,90,1,8505646,49,3980472,46,64634,53,3,2178,8,72,44,80,4,77,187,2000,97,3706,52,1,3,0,7,118,0,100,6
HRV,100,100,2920,9,64389,12,1,576883,13,99,0,4267558,49,1898807,44,74829,55,0,13250,7,76,14,87,1,11,1029,13480,96,187,57,1,15,0,40,106,0,100,6
HTI,37,72,0,25,16510,8,3,39529,0,62,1,10289210,20,5198418,50,17230,49,3,766,9,62,213,76,12,41,73,750,67,15443,50,1,14,0,0,143,0,100,4
HUN,100,100,19764,9,6717,13,1,449632,4,99,0,9920362,7,3008052,30,21850,69,0,12888,7,75,14,87,1,20,961,12970,99,440,59,1,11,0,29,80,0,100,5
IDN,96,99,9274286840,20,5865661,7,2,328846,0,86,1,248883232,11,121265866,48,15500000,51,2,3687,2,68,335,39,49,50,107,3570,83,128316,24,1,4,0,15,136,2,99,6
IND,79,96,5681742150,20,4895629,7,2,5240960,0,86,1,1263065852,15,863507600,68,9109609,31,2,1446,3,67,234,44,38,30,49,1480,82,1055567,17,1,2,0,2,133,1,100,5
IRL,100,100,105794085,15,305426,6,1,746260,15,98,0,4599533,19,1750490,38,341528,61,0,48945,10,80,8,87,0,12,5294,41060,95,243,58,1,15,0,42,96,0,29,8
IRN,99,99,2493295305,18,542137,4,1,2726420,3,95,1,76453574,4,21594312,28,838651,71,2,7832,6,74,18,80,1,28,519,7050,99,21385,58,1,12,0,37,105,20,100,5
IRQ,99,99,333153,34,51077,5,4,353881,0,83,3,32776571,9,10019142,30,76117,69,3,6651,2,68,45,59,3,78,178,6140,69,32358,62,1,7,0,5,111,48,100,5
ISL,100,100,0,14,1376675,6,2,37522,11,100,0,320716,99,20526,6,1384106,93,0,45910,8,82,3,87,0,9,3775,40680,89,9,57,1,6,0,55,114,0,13,9
ISR,100,100,229146222,21,3224,5,3,2011727,24,100,1,7910500,0,636004,8,23566,91,1,32543,7,81,7,87,0,11,2386,32220,94,545,63,1,6,0,46,108,0,100,9
ITA,100,100,0,9,202430,10,1,5788875,9,100,0,59539717,31,18645458,31,339471,68,0,34814,8,82,6,87,0,6,3125,36000,97,1675,56,1,10,0,36,92,0,97,7
JAM,93,99,16253038,17,15383,6,2,23167,0,92,0,2840992,10,1303106,45,16034,54,0,5208,4,75,4,80,0,60,260,4960,96,749,52,1,13,0,8,103,0,100,6
JOR,99,99,98796055,28,648,3,3,3112026,40,98,5,7992573,0,944322,11,1248,88,6,3870,7,73,5,80,0,26,309,3680,98,3781,67,1,12,0,5,128,0,100,6
JPN,100,100,225639456,8,3762422,10,1,2043877,1,98,0,127629000,11,11297719,8,4836243,91,0,48603,10,83,19,87,2,4,5212,49480,97,2394,25,1,4,0,50,97,0,89,7
KAZ,99,99,5770978875,22,36939,8,2,3546778,20,90,1,16792089,8,7225132,43,37677,56,1,12386,3,69,120,88,11,32,379,9940,99,5631,51,1,5,1,25,108,17,96,6
KEN,30,67,112300928,33,158980,6,4,1084357,2,56,2,43646629,74,33007327,75,180868,24,4,1155,5,64,471,45,73,87,64,1060,94,55733,23,1,9,0,0,122,0,100,5
KGZ,99,99,329148536,27,90,6,3,204382,3,85,1,5607200,93,3620962,64,387,35,1,1177,8,70,140,79,12,41,100,1040,96,3420,45,1,8,0,8,104,0,99,5
KHM,40,92,0,24,566695,6,2,73963,0,70,1,14776866,37,11668257,78,640695,21,3,951,7,67,411,66,24,48,69,880,90,11896,19,1,1,0,3,172,0,100,4
KWT,100,100,0,18,4030,2,2,2866136,73,100,6,3395556,0,0,0,4339,100,6,51264,2,74,25,87,1,11,1319,49950,98,524,71,1,2,0,15,175,61,100,7
LAO,76,97,655013010,25,34106,7,2,22244,0,73,1,6415169,100,4409531,68,136001,31,3,1588,2,65,204,31,55,65,32,1380,79,9182,22,1,0,0,7,146,0,100,5
LBN,99,99,0,14,3200,4,1,1997776,34,90,6,4916404,6,607864,12,4480,87,7,8959,7,78,15,87,1,13,713,8540,83,567,65,1,6,0,17,87,0,100,5
