country,Region
AFG,South Asia
ALB,Central and Eastern Europe
ARE,Middle East and North Africa
ARG,Latin America and Caribbean
ARM,Commonwealth of Independent States
AUS,North America and ANZ
AUT,Western Europe
AZE,Commonwealth of Independent States
BDI,Sub-Saharan Africa
BEL,Western Europe
BEN,Sub-Saharan Africa
BFA,Sub-Saharan Africa
BGD,South Asia
BGR,Central and Eastern Europe
BHR,Middle East and North Africa
BIH,Central and Eastern Europe
BLR,Commonwealth of Independent States
BOL,Latin America and Caribbean
BRA,Latin America and Caribbean
BTN,South Asia
BWA,Sub-Saharan Africa
CAN,North America and ANZ
CHE,Western Europe
CHL,Latin America and Caribbean
CHN,East Asia
CMR,Sub-Saharan Africa
COD,Sub-Saharan Africa
COL,Latin America and Caribbean
COM,Sub-Saharan Africa
CRI,Latin America and Caribbean
CYP,Western Europe
CZE,Central and Eastern Europe
DEU,Western Europe
DNK,Western Europe
DOM,Latin America and Caribbean
DZA,Middle East and North Africa
ECU,Latin America and Caribbean
EGY,Middle East and North Africa
ESP,Western Europe
EST,Central and Eastern Europe
ETH,Sub-Saharan Africa
FIN,Western Europe
FRA,Western Europe
GAB,Sub-Saharan Africa
GBR,Western Europe
GEO,Commonwealth of Independent States
GHA,Sub-Saharan Africa
GIN,Sub-Saharan Africa
GRC,Western Europe
GTM,Latin America and Caribbean
HKG,East Asia
HND,Latin America and Caribbean
HRV,Central and Eastern Europe
HTI,Latin America and Caribbean
HUN,Central and Eastern Europe
IDN,Southeast Asia
IND,South Asia
IRL,Western Europe
IRN,Middle East and North Africa
IRQ,Middle East and North Africa
ISL,Western Europe
ISR,Middle East and North Africa
ITA,Western Europe
JAM,Latin America and Caribbean
JOR,Middle East and North Africa
JPN,East Asia
KAZ,Commonwealth of Independent States
KEN,Sub-Saharan Africa
KGZ,Commonwealth of Independent States
KHM,Southeast Asia
KWT,Middle East and North Africa
LAO,Southeast Asia
LBN,Middle East and North Africa
LBR,Sub-Saharan Africa
LBY,Middle East and North Africa
LKA,South Asia
LTU,Central and Eastern Europe
LUX,Western Europe
LVA,Central and Eastern Europe
MAC,East Asia
MAR,Middle East and North Africa
MDA,Commonwealth of Independent States
MDG,Sub-Saharan Africa
MEX,Latin America and Caribbean
MLI,Sub-Saharan Africa
MLT,Western Europe
MMR,Southeast Asia
MNE,Central and Eastern Europe
MNG,East Asia
MRT,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,Southeast Asia
NAM,Sub-Saharan Africa
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
NIC,Latin America and Caribbean
NLD,Western Europe
NOR,Western Europe
NPL,South Asia
NZL,North America and ANZ
PAK,South Asia
PAN,Latin America and Caribbean
PER,Latin America and Caribbean
PHL,Southeast Asia
PLW,Middle East and North Africa
POL,Central and Eastern Europe
PRT,Western Europe
PRY,Latin America and Caribbean
QAT,Middle East and North Africa
ROU,Central and Eastern Europe
RUS,Commonwealth of Independent States
RWA,Sub-Saharan Africa
SAU,Middle East and North Africa
SEN,Sub-Saharan Africa
SGP,Southeast Asia
SLE,Sub-Saharan Africa
SLV,Latin America and Caribbean
SOM,Sub-Saharan Africa
SRB,Central and Eastern Europe
SSD,Sub-Saharan Africa
SVK,Central and Eastern Europe
SVN,Central and Eastern Europe
SWE,Western Europe
SYR,Middle East and North Africa
TCD,Sub-Saharan Africa
TGO,Sub-Saharan Africa
THA,Southeast Asia
TJK,Commonwealth of Independent States
TKM,Commonwealth of Independent States
TTO,Latin America and Caribbean
TUN,Middle East and North Africa
TUR,Middle East and North Africa
TZA,Sub-Saharan Africa
UGA,Sub-Saharan Africa
UKR,Commonwealth of Independent States
URY,Latin America and Caribbean
USA,North America and ANZ
UZB,Commonwealth of Independent States
VEN,Latin America and Caribbean
VNM,Southeast Asia
YEM,Middle East and North Africa
ZAF,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
